Category,Question,Answer
이용안내,시립도서관 운영시간이 어떻게 되나요?,평일은 09:00~20:00 토요일은 09:00~17:00에 운영하며 일요일과 공휴일은 휴관합니다.
이용안내,회원 가입은 어떻게 하나요?,신분증을 가지고 1층 안내 데스크에 오시면 그 자리에서 회원증을 발급합니다. 온라인 가입은 홈페이지에서 신청한 뒤 방문 확인이 필요합니다.
이용안내,주차는 가능한가요?,지하 주차장을 2시간 무료로 이용할 수 있으며 이후 30분마다 500원입니다.
이용안내,휴관일은 언제인가요?,매주 일요일과 법정 공휴일 그리고 매월 마지막 수요일(정리일)에 휴관합니다.
대출,책은 몇 권까지 빌릴 수 있나요?,회원 한 명이 한 번에 5권까지 14일 동안 빌릴 수 있습니다.
대출,대출 기간을 연장할 수 있나요?,예약자가 없는 책은 홈페이지나 안내 데스크에서 7일 한 번 연장할 수 있습니다.
대출,반납이 늦으면 어떻게 되나요?,연체한 날수만큼 대출이 정지됩니다. 연체료는 없습니다.
대출,빌리고 싶은 책이 대출 중이면 어떻게 하나요?,홈페이지에서 예약하면 반납되는 대로 문자로 알려 드리며 3일 안에 찾아가셔야 합니다.
대출,다른 도서관의 책도 빌릴 수 있나요?,시립도서관 통합 회원이면 상호대차 서비스로 다른 분관의 책을 신청해 2~3일 뒤 받을 수 있습니다.
시설,열람실 좌석은 어떻게 예약하나요?,3층 열람실 입구의 좌석 발급기에서 회원증을 대면 4시간 단위로 좌석이 발급됩니다.
시설,노트북을 쓸 수 있는 자리가 있나요?,2층 디지털 자료실과 3층 열람실 창가 쪽에 전원이 있는 노트북 좌석이 있습니다.
시설,스터디룸 대여는 어떻게 하나요?,4인 이상 모임이면 홈페이지에서 하루 전까지 신청하며 한 번에 2시간까지 무료입니다.
