Category,Question,Answer
이용정보,구름월드 운영시간이 어떻게 되나요?,구름월드는 매일 09:30~21:00에 운영합니다. 폐장 1시간 전까지 입장할 수 있습니다.
이용정보,야간개장은 언제 하나요?,성수기(7~8월)와 축제 기간에는 23:00까지 야간개장을 운영합니다. 야간권은 17:00부터 입장 가능합니다.
이용정보,재입장이 가능한가요?,당일에 한해 재입장이 가능합니다. 출구에서 재입장 도장을 받고 입장권을 보관해 주세요.
이용정보,우천 시에도 운영하나요?,실내 구역은 정상 운영합니다. 야외 어트랙션은 기상 상황에 따라 일시 중단될 수 있습니다.
이용정보,공연과 퍼레이드는 언제 하나요?,주간 퍼레이드는 14:00 정기 운영이며 야간개장 기간에는 20:30 야간 퍼레이드를 추가 운영합니다.
이용정보,어트랙션 대기시간은 어디서 확인하나요?,구름월드 공식 앱의 실시간 대기시간 메뉴에서 확인할 수 있습니다.
티켓,자유이용권 종류가 어떻게 되나요?,종일권과 야간권(17:00 이후) 두 종류가 있으며 종일권은 전 어트랙션을 이용할 수 있습니다.
티켓,자유이용권 환불 규정이 어떻게 되나요?,이용일 전날까지 취소하면 전액 환불되고 이용일 당일 취소는 50%만 환불됩니다. 이용 개시 후에는 환불되지 않습니다.
티켓,예매한 티켓 날짜를 변경할 수 있나요?,이용일 전날까지 공식 앱에서 1회에 한해 날짜를 변경할 수 있습니다.
티켓,선물받은 티켓은 어떻게 사용하나요?,문자로 받은 모바일 티켓의 바코드를 입장 게이트에서 제시하면 됩니다. 취소는 구매자만 할 수 있습니다.
티켓,연간이용권 혜택이 궁금합니다.,연간이용권으로 1년간 자유 입장이 가능하며 동반 1인 30% 할인과 기프트샵 10% 할인이 제공됩니다.
티켓,단체 예약은 몇 명부터 가능한가요?,20명 이상부터 단체 요금이 적용되며 최소 3일 전에 단체 예약 페이지에서 신청해야 합니다.
할인,어떤 우대 할인이 있나요?,국가유공자·장애인·경로(65세 이상)는 본인 50% 할인이 적용됩니다. 신분증을 매표소에서 제시해 주세요.
할인,생일 혜택이 있나요?,생일 당일과 전후 3일 이내 방문 시 본인 40% 할인이 적용됩니다. 신분증으로 생일을 확인합니다.
편의시설,주차장은 어떻게 이용하나요?,"주차장은 4,000대 규모이며 최초 30분은 무료입니다. 이후 30분당 1,500원이고 당일 최대 15,000원입니다."
편의시설,유모차를 빌릴 수 있나요?,"정문 서비스센터에서 유모차를 대여할 수 있습니다. 대여료는 5,000원이며 보증금은 없습니다."
편의시설,물품보관함이 있나요?,"정문과 후문에 물품보관함이 있습니다. 소형 2,000원, 대형 4,000원입니다."
편의시설,수유실이 있나요?,1층 서비스센터 옆과 실내 구역 2층에 수유실이 있습니다. 정수기와 전자레인지가 비치되어 있습니다.
편의시설,휠체어 대여가 가능한가요?,정문 서비스센터에서 휠체어를 무료로 대여할 수 있습니다. 신분증을 맡겨 주세요.
편의시설,흡연구역이 있나요?,흡연은 후문 옆 지정 흡연구역에서만 가능합니다. 그 외 전 구역은 금연입니다.
이용규칙,음식물을 가지고 들어갈 수 있나요?,개인 도시락과 음료는 반입할 수 있습니다. 단 유리병과 주류는 반입할 수 없습니다.
이용규칙,반려동물과 함께 입장할 수 있나요?,반려동물은 입장할 수 없습니다. 단 장애인 보조견은 증명서 지참 시 동반 입장이 가능합니다.
이용규칙,키 제한이 있는 어트랙션이 있나요?,스릴 어트랙션은 키 120cm 이상부터 이용할 수 있습니다. 어트랙션별 기준은 입구 안내판을 확인해 주세요.
이용규칙,장애인 동반 탑승은 어떻게 하나요?,장애인 우선 탑승 제도를 운영합니다. 서비스센터에서 우선 탑승증을 발급받아 각 어트랙션 직원에게 제시해 주세요.
분실물,물건을 잃어버렸어요. 어디에 문의하나요?,정문 서비스센터의 분실물 센터로 문의해 주세요. 습득물은 30일간 보관 후 경찰서로 이관됩니다.
분실물,입장권을 분실하면 재발급이 되나요?,지류 입장권은 재발급되지 않습니다. 모바일 티켓 구매 내역이 있으면 서비스센터에서 확인 후 재입장을 도와드립니다.
교통,셔틀버스가 있나요?,구름역 2번 출구에서 정문까지 무료 셔틀버스가 15분 간격으로 운행합니다.
교통,자전거 보관소가 있나요?,정문 왼쪽에 무료 자전거 보관소가 있습니다. 도난 방지를 위해 잠금장치를 사용해 주세요.
기프트샵,기프트샵 상품을 교환하거나 환불할 수 있나요?,구매일로부터 7일 이내에 영수증을 지참하면 미개봉 상품에 한해 교환·환불이 가능합니다.
기프트샵,기프트샵은 입장권 없이 이용할 수 있나요?,정문 밖 기프트샵은 입장권 없이 이용할 수 있습니다. 파크 내 매장은 입장객만 이용 가능합니다.
서비스,공식 앱에서는 무엇을 할 수 있나요?,티켓 예매·날짜 변경·실시간 대기시간 확인·공연 일정 확인·분실물 접수를 할 수 있습니다.
서비스,외국어 안내 서비스가 있나요?,정문 서비스센터에서 영어·중국어·일본어 안내 지도를 제공하며 공식 앱에서 언어를 변경할 수 있습니다.
